x     ,  delta_x   ,  f_prime_x     , Forward error  ,  discreet value
0 ,0.01    ,      2      ,   0.0003  ,      2.0003
0.01 ,0.01    ,      2.0009      ,   0.0012  ,      2.0021
0.02 ,0.01    ,      2.0036      ,   0.0021  ,      2.0057
0.03 ,0.01    ,      2.0081      ,   0.003  ,      2.0111
0.04 ,0.01    ,      2.0144      ,   0.0039  ,      2.0183
0.05 ,0.01    ,      2.0225      ,   0.0048  ,      2.0273
0.06 ,0.01    ,      2.0324      ,   0.0057  ,      2.0381
0.07 ,0.01    ,      2.0441      ,   0.0066  ,      2.0507
0.08 ,0.01    ,      2.0576      ,   0.0075  ,      2.0651
0.09 ,0.01    ,      2.0729      ,   0.0084  ,      2.0813
0.1 ,0.01    ,      2.09      ,   0.0093  ,      2.0993
0.11 ,0.01    ,      2.1089      ,   0.0102  ,      2.1191
0.12 ,0.01    ,      2.1296      ,   0.0111  ,      2.1407
0.13 ,0.01    ,      2.1521      ,   0.012  ,      2.1641
0.14 ,0.01    ,      2.1764      ,   0.0129  ,      2.1893
0.15 ,0.01    ,      2.2025      ,   0.0138  ,      2.2163
0.16 ,0.01    ,      2.2304      ,   0.0147  ,      2.2451
0.17 ,0.01    ,      2.2601      ,   0.0156  ,      2.2757
0.18 ,0.01    ,      2.2916      ,   0.0165  ,      2.3081
0.19 ,0.01    ,      2.3249      ,   0.0174  ,      2.3423
0.2 ,0.01    ,      2.36      ,   0.0183  ,      2.3783
0.21 ,0.01    ,      2.3969      ,   0.0192  ,      2.4161
0.22 ,0.01    ,      2.4356      ,   0.0201  ,      2.4557
0.23 ,0.01    ,      2.4761      ,   0.021  ,      2.4971
0.24 ,0.01    ,      2.5184      ,   0.0219  ,      2.5403
0.25 ,0.01    ,      2.5625      ,   0.0228  ,      2.5853
0.26 ,0.01    ,      2.6084      ,   0.0237  ,      2.6321
0.27 ,0.01    ,      2.6561      ,   0.0246  ,      2.6807
0.28 ,0.01    ,      2.7056      ,   0.0255  ,      2.7311
0.29 ,0.01    ,      2.7569      ,   0.0264  ,      2.7833
0.3 ,0.01    ,      2.81      ,   0.0273  ,      2.8373
0.31 ,0.01    ,      2.8649      ,   0.0282  ,      2.8931
0.32 ,0.01    ,      2.9216      ,   0.0291  ,      2.9507
0.33 ,0.01    ,      2.9801      ,   0.03  ,      3.0101
0.34 ,0.01    ,      3.0404      ,   0.0309  ,      3.0713
0.35 ,0.01    ,      3.1025      ,   0.0318  ,      3.1343
0.36 ,0.01    ,      3.1664      ,   0.0327  ,      3.1991
0.37 ,0.01    ,      3.2321      ,   0.0336  ,      3.2657
0.38 ,0.01    ,      3.2996      ,   0.0345  ,      3.3341
0.39 ,0.01    ,      3.3689      ,   0.0354  ,      3.4043
0.4 ,0.01    ,      3.44      ,   0.0363  ,      3.4763
0.41 ,0.01    ,      3.5129      ,   0.0372  ,      3.5501
0.42 ,0.01    ,      3.5876      ,   0.0381  ,      3.6257
0.43 ,0.01    ,      3.6641      ,   0.039  ,      3.7031
0.44 ,0.01    ,      3.7424      ,   0.0399  ,      3.7823
0.45 ,0.01    ,      3.8225      ,   0.0408  ,      3.8633
0.46 ,0.01    ,      3.9044      ,   0.0417  ,      3.9461
0.47 ,0.01    ,      3.9881      ,   0.0426  ,      4.0307
0.48 ,0.01    ,      4.0736      ,   0.0435  ,      4.1171
0.49 ,0.01    ,      4.1609      ,   0.0444  ,      4.2053
0.5 ,0.01    ,      4.25      ,   0.0453  ,      4.2953
0.51 ,0.01    ,      4.3409      ,   0.0462  ,      4.3871
0.52 ,0.01    ,      4.4336      ,   0.0471  ,      4.4807
0.53 ,0.01    ,      4.5281      ,   0.048  ,      4.5761
0.54 ,0.01    ,      4.6244      ,   0.0489  ,      4.6733
0.55 ,0.01    ,      4.7225      ,   0.0498  ,      4.7723
0.56 ,0.01    ,      4.8224      ,   0.0507  ,      4.8731
0.57 ,0.01    ,      4.9241      ,   0.0516  ,      4.9757
0.58 ,0.01    ,      5.0276      ,   0.0525  ,      5.0801
0.59 ,0.01    ,      5.1329      ,   0.0534  ,      5.1863
0.6 ,0.01    ,      5.24      ,   0.0543  ,      5.2943
0.61 ,0.01    ,      5.3489      ,   0.0552  ,      5.4041
0.62 ,0.01    ,      5.4596      ,   0.0561  ,      5.5157
0.63 ,0.01    ,      5.5721      ,   0.057  ,      5.6291
0.64 ,0.01    ,      5.6864      ,   0.0579  ,      5.7443
0.65 ,0.01    ,      5.8025      ,   0.0588  ,      5.8613
0.66 ,0.01    ,      5.9204      ,   0.0597  ,      5.9801
0.67 ,0.01    ,      6.0401      ,   0.0606  ,      6.1007
0.68 ,0.01    ,      6.1616      ,   0.0615  ,      6.2231
0.69 ,0.01    ,      6.2849      ,   0.0624  ,      6.3473
0.7 ,0.01    ,      6.41      ,   0.0633  ,      6.4733
0.71 ,0.01    ,      6.5369      ,   0.0642  ,      6.6011
0.72 ,0.01    ,      6.6656      ,   0.0651  ,      6.7307
0.73 ,0.01    ,      6.7961      ,   0.066  ,      6.8621
0.74 ,0.01    ,      6.9284      ,   0.0669  ,      6.9953
0.75 ,0.01    ,      7.0625      ,   0.0678  ,      7.1303
0.76 ,0.01    ,      7.1984      ,   0.0687  ,      7.2671
0.77 ,0.01    ,      7.3361      ,   0.0696  ,      7.4057
0.78 ,0.01    ,      7.4756      ,   0.0705  ,      7.5461
0.79 ,0.01    ,      7.6169      ,   0.0714  ,      7.6883
0.8 ,0.01    ,      7.76      ,   0.0723  ,      7.8323
0.81 ,0.01    ,      7.9049      ,   0.0732  ,      7.9781
0.82 ,0.01    ,      8.0516      ,   0.0741  ,      8.1257
0.83 ,0.01    ,      8.2001      ,   0.075  ,      8.2751
0.84 ,0.01    ,      8.3504      ,   0.0759  ,      8.4263
0.85 ,0.01    ,      8.5025      ,   0.0768  ,      8.5793
0.86 ,0.01    ,      8.6564      ,   0.0777  ,      8.7341
0.87 ,0.01    ,      8.8121      ,   0.0786  ,      8.8907
0.88 ,0.01    ,      8.9696      ,   0.0795  ,      9.0491
0.89 ,0.01    ,      9.1289      ,   0.0804  ,      9.2093
0.9 ,0.01    ,      9.29      ,   0.0813  ,      9.3713
0.91 ,0.01    ,      9.4529      ,   0.0822  ,      9.5351
0.92 ,0.01    ,      9.6176      ,   0.0831  ,      9.7007
0.93 ,0.01    ,      9.7841      ,   0.084  ,      9.8681
0.94 ,0.01    ,      9.9524      ,   0.0849  ,      10.0373
0.95 ,0.01    ,      10.1225      ,   0.0858  ,      10.2083
0.96 ,0.01    ,      10.2944      ,   0.0867  ,      10.3811
0.97 ,0.01    ,      10.4681      ,   0.0876  ,      10.5557
0.98 ,0.01    ,      10.6436      ,   0.0885  ,      10.7321
0.99 ,0.01    ,      10.8209      ,   0.0894  ,      10.9103
1 ,0.01    ,      11      ,   0.0903  ,      11.0903
